"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 23:20:45 GMT 2021","Mon Dec 20 23:20:45 GMT 2021","208","","example to-do app","","","","can check off an item as completed",""
"passed","Mon Dec 20 23:20:45 GMT 2021","Mon Dec 20 23:20:45 GMT 2021","298","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Mon Dec 20 23:20:45 GMT 2021","Mon Dec 20 23:20:45 GMT 2021","301","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Mon Dec 20 23:20:45 GMT 2021","Mon Dec 20 23:20:46 GMT 2021","278","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Mon Dec 20 23:20:44 GMT 2021","Mon Dec 20 23:20:45 GMT 2021","686","","example to-do app","","","","can add new todo items",""
"passed","Mon Dec 20 23:20:43 GMT 2021","Mon Dec 20 23:20:44 GMT 2021","666","","example to-do app","","","","displays two todo items by default",""
